s.no,time,5ml/min,10ml/min,15ml/min,20ml/min
1,0,,,,
2,5,,,,4.410776048
3,10,,,3.891820298,3.891820298
4,15,,3.891820298,3.12717816,3.17805383
5,20,,3.17805383,2.751535313,2.751535313
6,25,,2.787562264,2.402266864,2.442347035
7,30,3.748992436,2.733941615,2.313634929,1.992430165
8,35,3.152319008,2.442347035,1.992430165,1.15267951
9,40,2.699548556,2.197224577,1.516347489,0.944461609
10,45,2.586689344,1.734601055,1.208311206,0.753771802
11,50,2.442347035,1.386294361,0.895384047,0.575364145
12,55,2.289455802,0.994622575,0.619039208,0.363965377
13,60,1.900958761,0.753771802,0.438913042,0.16034265
14,65,1.098612289,0.489548225,0.200670695,-0.120144312
15,70,0.895384047,0.363965377,0.040005335,-0.322773392
16,75,0.753771802,0.120144312,-0.080042708,-0.489548225
17,80,0.532216814,-0.200670695,-0.322773392,-0.753771802
18,85,0.363965377,-0.363965377,-0.489548225,-0.944461609
19,90,0.16034265,-0.489548225,-0.8001193,-1.15267951
20,95,-0.080042708,-0.753771802,-1.098612289,-1.585627264
21,100,-0.281851152,-0.895384047,-1.324925415,-1.992430165
22,105,-0.532216814,-1.15267951,-1.386294361,-2.751535313
23,110,-0.753771802,-1.386294361,-1.734601055,-3.17805383
24,115,-0.895384047,-1.734601055,-2.313634929,-3.47609869
25,120,-1.15267951,-2.313634929,-2.586689344,-3.891820298
26,125,-1.516347489,-2.442347035,-2.751535313,
27,130,-2.313634929,-3.17805383,-3.891820298,
28,135,-2.751535313,-3.17805383,,
29,140,-2.944438979,-3.17805383,,
